file,line,type,commit,author,date,time,timezone,datetime,depth,length
/Users/sohan/Documents/dsc106/lab/style.css,35,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,6
/Users/sohan/Documents/dsc106/lab/style.css,36,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,20
/Users/sohan/Documents/dsc106/lab/style.css,37,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,13
/Users/sohan/Documents/dsc106/lab/style.css,38,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,17
/Users/sohan/Documents/dsc106/lab/style.css,39,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,13
/Users/sohan/Documents/dsc106/lab/style.css,40,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,41,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,42,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,11
/Users/sohan/Documents/dsc106/lab/style.css,43,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,45
/Users/sohan/Documents/dsc106/lab/style.css,44,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,34
/Users/sohan/Documents/dsc106/lab/style.css,45,css,e99309d0,sohan-shingade,2026-04-17,16:54:18,-07:00,2026-04-17T16:54:18-07:00,1,69
/Users/sohan/Documents/dsc106/lab/style.css,46,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,47,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,48,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,13
/Users/sohan/Documents/dsc106/lab/style.css,49,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,41
/Users/sohan/Documents/dsc106/lab/style.css,50,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,34
/Users/sohan/Documents/dsc106/lab/style.css,51,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,52,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,53,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,14
/Users/sohan/Documents/dsc106/lab/style.css,54,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,2
/Users/sohan/Documents/dsc106/lab/style.css,55,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,14
/Users/sohan/Documents/dsc106/lab/style.css,56,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,15
/Users/sohan/Documents/dsc106/lab/style.css,57,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,17
/Users/sohan/Documents/dsc106/lab/style.css,58,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,24
/Users/sohan/Documents/dsc106/lab/style.css,59,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,22
/Users/sohan/Documents/dsc106/lab/style.css,60,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,61,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,62,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,6
/Users/sohan/Documents/dsc106/lab/style.css,63,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,15
/Users/sohan/Documents/dsc106/lab/style.css,64,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,17
/Users/sohan/Documents/dsc106/lab/style.css,65,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,24
/Users/sohan/Documents/dsc106/lab/style.css,66,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,21
/Users/sohan/Documents/dsc106/lab/style.css,67,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,68,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,69,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,10
/Users/sohan/Documents/dsc106/lab/style.css,70,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,3
/Users/sohan/Documents/dsc106/lab/style.css,71,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,14
/Users/sohan/Documents/dsc106/lab/style.css,72,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,11
/Users/sohan/Documents/dsc106/lab/style.css,73,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,74,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,75,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,6
/Users/sohan/Documents/dsc106/lab/style.css,76,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,11
